Attacker,Defender
Fire,Grass
Fire,Ice
Fire,Bug
Fire,Steel
Water,Fire
Water,Ground
Water,Rock
Electric,Water
Electric,Flying
Grass,Water
Grass,Ground
Grass,Rock
Ice,Grass
Ice,Ground
Ice,Flying
Ice,Dragon
Fighting,Normal
Fighting,Ice
Fighting,Rock
Fighting,Dark
Fighting,Steel
Poison,Grass
Ground,Fire
Ground,Electric
Ground,Poison
Ground,Rock
Ground,Steel
Flying,Grass
Flying,Fighting
Flying,Bug
Psychic,Fighting
Psychic,Poison
Bug,Grass
Bug,Psychic
Bug,Dark
Rock,Fire
Rock,Ice
Rock,Flying
Rock,Bug
Ghost,Psychic
Ghost,Ghost
Dragon,Dragon
Dark,Psychic
Dark,Ghost
Steel,Ice
Steel,Rock
Fairy,Fighting
Fairy,Dragon
Fairy,Dark
